codigo_oc,nombre_oc,fecha_creacion,tipo,codigo_licitacion,estado,organismo_codigo,organismo_nombre,organismo_rut,comuna,region,proveedor_codigo,proveedor_nombre,proveedor_rut,proveedor_comuna,proveedor_region,item_correlativo,codigo_categoria,categoria,codigo_producto,catalogo_id,producto,especificacion_comprador,cantidad,unidad,moneda,precio_neto_unitario,total_linea_derivado,total_item_reportado
1047027-76-SE20,,2020-11-05T19:26:11Z,direct,,,,Hospital Quilpué | FARMACIA MEDICAMENTOS,616066048,,Región de Valparaíso ,,SOCOFAR S A | SOCOFAR S A,915750001,,Región de Valparaíso ,,,,,,WARFARINA CM 5 MG enero,Warfarina sódicaWARFARINA CM 5MG caja x 30 comprimidos,7.0,000,CLP,17265.0,,
1057384-40-SE20,,2020-11-05T19:26:53Z,direct,,,,Hospital Tocopilla | Bienes y Servicios,616062034,,Región de Antofagasta ,,KAUFMANN S.A. Vehículos Motorizados | KAUFMANN S.A - SUC. CALAMA,924750006,,Región de Antofagasta ,,,,,,Reparación Ambulancia Hospital Tocopilla.,"AmbulanciasServicio Reparación Ambulancia Mercedes Benz Inv. 043, Patente GKLY 86 de Hospital de Tocopilla.",1.0,000,CLP,1657836.0,,
1057402-209-SE20,,2020-11-05T19:26:53Z,direct,,,,HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA | Bienes y Servicios,616079018,,Región de Magallanes y de la Antártica,,Il. Municipalidad de Punta Arenas | Il. Municipalidad de Punta Arenas,692502000,,Región de Magallanes y de la Antártica,,,,,,5076  INGRESO CREMATORIO DICIEMBRE 2019,Crematorios y CementeriosCREMACIÓN DE RESTOS ORGÁNICOS CON UN TOTAL DE 50.55 KILOS,4.0,EA,CLP,124183.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5","Cloro Cl501-0025	HIPOCLORITO DE SODIO 10% ESTABILIZADO 5 LTS.
",100.0,KGM,CLP,5237.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Toallas de papel501-0353	TOALLAS DESINFECTANTES VIRUTEX ,20.0,EA,CLP,1234.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5","Cubre camillas503-0169	SABANILLAS DESECHABLES X 2 RO
",2626.0,RO,CLP,2499.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Guantes protectores501-0062 GUANTES INDUSTRIALES CORTOS,22.0,PR,CLP,1381.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5","Guantes protectores501-0378	DETERGENTE MATIC CON ESPUMA CONTROLADA 6 KG.
",72.0,KGM,CLP,13260.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Guantes protectores501-0063 GUANTES ANTICORTES,16.0,PR,CLP,10751.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Guantes protectores501-0127 GUANTES CABRETILLA,118.0,PR,CLP,830.0,,
